"xp";"virus";"lineage";"treatment";"material";"temperature";"humidity";"cell";"time";"dilution";"replicate";"replicate_titration";"virus_detect";"plate";"well_row";"well_col";"comment";"sample_id"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";-1;"-4";1;"1";1;"PLATE 1";"E";"3";"negative time corresponds to inoculum titration, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_-1"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";-1;"-2";1;"1";1;"PLATE 1";"C";"3";"negative time corresponds to inoculum titration, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_-1"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";-1;"-7";1;"1";0;"PLATE 1";"H";"3";"negative time corresponds to inoculum titration, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_-1"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";-1;"-3";1;"1";1;"PLATE 1";"D";"3";"negative time corresponds to inoculum titration, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_-1"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";-1;"0";1;"1";1;"PLATE 1";"A";"4";"negative time corresponds to inoculum titration, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_-1"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";-1;"-1";1;"1";1;"PLATE 1";"B";"4";"negative time corresponds to inoculum titration, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_-1"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";-1;"-7";1;"1";0;"PLATE 1";"H";"4";"negative time corresponds to inoculum titration, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_-1"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";-1;"-6";1;"1";0;"PLATE 1";"G";"4";"negative time corresponds to inoculum titration, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_-1"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";-1;"-2";1;"1";1;"PLATE 1";"C";"4";"negative time corresponds to inoculum titration, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_-1"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";-1;"-3";1;"1";1;"PLATE 1";"D";"4";"negative time corresponds to inoculum titration, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_-1"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";-1;"-5";1;"1";0;"PLATE 1";"F";"4";"negative time corresponds to inoculum titration, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_-1"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";-1;"-4";1;"1";1;"PLATE 1";"E";"4";"negative time corresponds to inoculum titration, temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_-1"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";0;"0";1;"1";1;"PLATE 1";"A";"5";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_0"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";0;"-1";1;"1";1;"PLATE 1";"B";"5";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_0"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";0;"-2";1;"1";0;"PLATE 1";"C";"5";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_0"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";0;"-7";1;"1";0;"PLATE 1";"H";"5";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_0"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";0;"-6";1;"1";0;"PLATE 1";"G";"5";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_0"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";0;"-3";1;"1";0;"PLATE 1";"D";"5";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_0"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";0;"-4";1;"1";0;"PLATE 1";"E";"5";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_0"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";0;"-5";1;"1";0;"PLATE 1";"F";"5";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_0"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";0;"0";1;"1";1;"PLATE 1";"A";"6";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_0"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";0;"-1";1;"1";0;"PLATE 1";"B";"6";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_0"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";0;"-2";1;"1";0;"PLATE 1";"C";"6";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_0"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";0;"-3";1;"1";0;"PLATE 1";"D";"6";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_0"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";0;"-4";1;"1";0;"PLATE 1";"E";"6";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_0"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";0;"-5";1;"1";0;"PLATE 1";"F";"6";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_0"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";0;"-7";1;"1";0;"PLATE 1";"H";"6";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_0"
"2021-04-23";"SARS-CoV-2";"WA1";NA;"Aerosols";"21-23";"65";"VERO TMPRSII-RML";0;"-6";1;"1";0;"PLATE 1";"G";"6";"temperature in Celsius, huminity in relative humidity, time in hours, log10 dilution factor";"WA1_1_0"
