variant_display_name	cell	med	q025	q975	formatted_hl
Omicron	Vero_E6	3.578691101200593	2.8795125510554116	4.468684433853598	3.58 [2.88, 4.47]
Delta	Vero_E6	4.379841053148279	3.4822004365162718	5.651966423716519	4.38 [3.48, 5.65]
Beta	Vero_E6	5.7255774947186096	5.005358710809476	6.720979355433255	5.73 [5.01, 6.72]
Alpha	Vero_E6	5.130618389100087	4.593645065165729	5.743560038093201	5.13 [4.59, 5.74]
B.1	Vero_E6	5.163684154944365	4.4770056987269244	5.95924091243593	5.16 [4.48, 5.96]
WA1	Vero_E6	4.819282959700365	4.226722155263816	5.486904354171374	4.82 [4.23, 5.49]
